Rank,Company,Fit Score,Category Label,Country,Region,Remote,Funding Stage (approx),Company Size (approx),Website
1,Replicate,100,LLM Infra / Ops,USA,USA,Remote-first,Series B,51-200,https://replicate.com
2,Unstructured,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series B,51-200,https://unstructured.io
3,Hugging Face,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series D,201-500,https://huggingface.co
4,Helicone,100,LLM Infra / Ops,USA,USA,Remote-first,Seed,1-50,https://helicone.ai
5,Jina AI,100,LLM Infra / Ops,Germany,Germany,Remote-first,Series A,51-200,https://jina.ai
6,OpenPipe,100,LLM Infra / Ops,USA,USA,Remote-first,Seed,1-50,https://openpipe.ai
7,Weaviate,100,Vector DB / RAG,Netherlands,Netherlands,Remote-first,Series B,51-200,https://weaviate.io
8,LanceDB,100,Vector DB / RAG,USA,USA,Remote-first,Seed,1-50,https://lancedb.com
9,Marqo,100,Vector DB / RAG,Australia,Australia,Remote-first,Series A,1-50,https://marqo.ai
10,Chroma,100,Vector DB / RAG,USA,USA,Remote-first,Series A,1-50,https://trychroma.com
11,Qdrant,100,Vector DB / RAG,Germany,Germany,Remote-first,Series A,51-200,https://qdrant.tech
12,Turbopuffer,100,Vector DB / RAG,USA,USA,Remote-first,Seed,1-50,https://turbopuffer.com
13,RunPod,100,LLM Infra / Ops,USA,Global-Remote,Remote-first,Series A,51-200,https://runpod.io
14,Portkey,100,LLM Infra / Ops,India,Global-Remote,Remote-first,Seed,1-50,https://portkey.ai
15,Langfuse,100,LLM Infra / Ops,Germany,Germany,Remote-first,Seed,1-50,https://langfuse.com
16,Composio,96,LLM Infra / Ops,USA,India,Remote-friendly,Seed,1-50,https://composio.dev
17,ELYZA,96,AI Lab / Foundation Models,Japan,Japan,Remote-friendly,Corporate,51-200,https://elyza.ai
18,AI71,96,AI Lab / Foundation Models,UAE,UAE,Remote-friendly,Private,51-200,https://ai71.ai
19,Preferred Networks,96,AI Lab / Foundation Models,Japan,Japan,Remote-friendly,Private,501-1000,https://preferred.jp
20,DeepSeek,96,AI Lab / Foundation Models,China,Global-Remote,Remote-friendly,Private,201-500,https://deepseek.com
21,xAI,96,AI Lab / Foundation Models,USA,USA,Remote-friendly,Late-stage,501-1000,https://x.ai
22,Mistral AI,96,AI Lab / Foundation Models,France,France,Remote-friendly,Series C,201-500,https://mistral.ai
23,Cohere,96,AI Lab / Foundation Models,Canada,Canada,Remote-friendly,Series D,501-1000,https://cohere.com
24,Aleph Alpha,96,AI Lab / Foundation Models,Germany,Germany,Remote-friendly,Series B,201-500,https://aleph-alpha.com
25,Upstage,96,AI Lab / Foundation Models,South Korea,South Korea,Remote-friendly,Series B,51-200,https://upstage.ai
26,Sakana AI,96,AI Lab / Foundation Models,Japan,Japan,Remote-friendly,Series A,51-200,https://sakana.ai
27,Black Forest Labs,96,AI Lab / Foundation Models,Germany,Germany,Remote-friendly,Series B,1-50,https://blackforestlabs.ai
28,LangChain,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series B,51-200,https://langchain.com
29,LlamaIndex,96,LLM Infra / Ops,USA,USA,Remote-friendly,Seed,1-50,https://llamaindex.ai
30,Krutrim,96,AI Lab / Foundation Models,India,India,Remote-friendly,Series B,51-200,https://olakrutrim.com
31,Two AI,96,AI Lab / Foundation Models,India,India,Remote-friendly,Series A,51-200,https://two.ai
32,Sarvam AI,96,AI Lab / Foundation Models,India,India,Remote-friendly,Series A,51-200,https://sarvam.ai
33,Fireworks AI,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series B,51-200,https://fireworks.ai
34,Together AI,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series B,201-500,https://together.ai
35,AI21 Labs,96,AI Lab / Foundation Models,Israel,Europe,Remote-friendly,Series C,201-500,https://ai21.com
36,Baseten,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series C,51-200,https://baseten.co
37,Zilliz (Milvus),96,Vector DB / RAG,USA,USA,Remote-friendly,Series C,201-500,https://zilliz.com
38,Anyscale,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series C,201-500,https://anyscale.com
39,Modal,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series A,51-200,https://modal.com
40,Lightning AI,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series C,51-200,https://lightning.ai
41,Lamini,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series A,1-50,https://lamini.ai
42,Predibase,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series B,51-200,https://predibase.com
43,TrueFoundry,96,LLM Infra / Ops,India,India,Remote-friendly,Series A,51-200,https://truefoundry.com
44,Pinecone,96,Vector DB / RAG,USA,USA,Remote-friendly,Series B,201-500,https://pinecone.io
45,Braintrust,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series A,1-50,https://braintrust.dev
46,Liquid AI,96,AI Lab / Foundation Models,USA,USA,Remote-friendly,Series A,51-200,https://liquid.ai
47,Poolside,96,AI Lab / Foundation Models,France,France,Remote-friendly,Series B,51-200,https://poolside.ai
48,Reka AI,96,AI Lab / Foundation Models,USA,USA,Remote-friendly,Series A,51-200,https://reka.ai
49,Maxim AI,96,LLM Infra / Ops,India,India,Remote-friendly,Seed,1-50,https://getmaxim.ai
50,Vespa,96,Vector DB / RAG,Norway,Norway,Remote-friendly,Series A,51-200,https://vespa.ai
51,Patronus AI,96,LLM Infra / Ops,USA,USA,Remote-friendly,Series A,1-50,https://patronus.ai
52,OpenAI,96,AI Lab / Foundation Models,USA,USA,Remote-friendly,Late-stage,1001-5000,https://openai.com
53,Anthropic,96,AI Lab / Foundation Models,USA,USA,Remote-friendly,Late-stage,1001-5000,https://anthropic.com
54,Elicit,95,Search / RAG Product,USA,Global-Remote,Remote-first,Series A,1-50,https://elicit.com
56,LiveKit,95,Voice / Multimodal AI,USA,USA,Remote-first,Series B,51-200,https://livekit.io
57,Deepgram,95,Voice / Multimodal AI,USA,USA,Remote-first,Series B,51-200,https://deepgram.com
58,ElevenLabs,95,Voice / Multimodal AI,UK,UK,Remote-first,Late-stage,201-500,https://elevenlabs.io
59,AssemblyAI,95,Voice / Multimodal AI,USA,USA,Remote-first,Series C,51-200,https://assemblyai.com
60,Google DeepMind,92,AI Lab / Foundation Models,UK,UK,Hybrid,5000+,5000+,https://deepmind.google
61,Cognition,91,Agentic AI,USA,USA,Remote-friendly,Late-stage,51-200,https://cognition.ai
62,Imbue,91,Agentic AI,USA,USA,Remote-friendly,Series B,51-200,https://imbue.com
63,Dust,91,Agentic AI,France,France,Remote-friendly,Series A,51-200,https://dust.tt
64,H Company,91,Agentic AI,France,France,Remote-friendly,Seed,51-200,https://hcompany.ai
66,/dev/agents,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://devagents.ai
67,Algomatic,91,Agentic AI,Japan,Japan,Remote-friendly,Series A,51-200,https://algomatic.jp
68,Vapi,91,Voice / Multimodal AI,USA,USA,Remote-friendly,Series A,1-50,https://vapi.ai
71,Cartesia,91,Voice / Multimodal AI,USA,USA,Remote-friendly,Series A,51-200,https://cartesia.ai
72,Speechmatics,91,Voice / Multimodal AI,UK,UK,Remote-friendly,Series B,51-200,https://speechmatics.com
73,Hume AI,91,Voice / Multimodal AI,USA,USA,Remote-friendly,Series B,51-200,https://hume.ai
74,MultiOn,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://multion.ai
75,Lindy,91,Agentic AI,USA,USA,Remote-friendly,Series A,1-50,https://lindy.ai
76,CrewAI,91,Agentic AI,USA,USA,Remote-friendly,Series A,1-50,https://crewai.com
77,Lyzr,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://lyzr.ai
78,Genspark,91,Search / RAG Product,USA,USA,Remote-friendly,Series A,51-200,https://genspark.ai
79,WIZ.AI,91,Voice / Multimodal AI,Singapore,Singapore,Remote-friendly,Series B,201-500,https://wiz.ai
80,Ema,91,Agentic AI,USA,USA,Remote-friendly,Series B,51-200,https://ema.co
81,Beam AI,91,Agentic AI,Germany,Germany,Remote-friendly,Seed,1-50,https://beam.ai
82,Lovable,91,Agentic AI,Sweden,Sweden,Remote-friendly,Series A,51-200,https://lovable.dev
83,Relevance AI,91,Agentic AI,Australia,Australia,Remote-friendly,Series B,51-200,https://relevanceai.com
84,Sierra,91,Agentic AI,USA,USA,Remote-friendly,Series B,201-500,https://sierra.ai
85,Decagon,91,Agentic AI,USA,USA,Remote-friendly,Series C,51-200,https://decagon.ai
86,You.com,91,Search / RAG Product,USA,USA,Remote-friendly,Series B,51-200,https://you.com
87,Exa,91,Search / RAG Product,USA,USA,Remote-friendly,Series A,1-50,https://exa.ai
88,Parloa,91,Voice / Multimodal AI,Germany,Germany,Remote-friendly,Series C,201-500,https://parloa.com
89,Twelve Labs,91,Voice / Multimodal AI,USA,South Korea,Remote-friendly,Series A,51-200,https://twelvelabs.io
90,Perplexity,91,Search / RAG Product,USA,USA,Remote-friendly,Late-stage,201-500,https://perplexity.ai
91,Lorikeet,91,Agentic AI,Australia,Australia,Remote-friendly,Series A,1-50,https://lorikeet.ai
92,Vectara,91,Search / RAG Product,USA,USA,Remote-friendly,Series A,51-200,https://vectara.com
