Rank,Company,Fit Score,Category Label,Country,Region,Remote,Funding Stage (approx),Company Size (approx),Website
61,Cognition,91,Agentic AI,USA,USA,Remote-friendly,Late-stage,51-200,https://cognition.ai
62,Imbue,91,Agentic AI,USA,USA,Remote-friendly,Series B,51-200,https://imbue.com
63,Dust,91,Agentic AI,France,France,Remote-friendly,Series A,51-200,https://dust.tt
64,H Company,91,Agentic AI,France,France,Remote-friendly,Seed,51-200,https://hcompany.ai
66,/dev/agents,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://devagents.ai
67,Algomatic,91,Agentic AI,Japan,Japan,Remote-friendly,Series A,51-200,https://algomatic.jp
74,MultiOn,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://multion.ai
75,Lindy,91,Agentic AI,USA,USA,Remote-friendly,Series A,1-50,https://lindy.ai
76,CrewAI,91,Agentic AI,USA,USA,Remote-friendly,Series A,1-50,https://crewai.com
77,Lyzr,91,Agentic AI,USA,USA,Remote-friendly,Seed,1-50,https://lyzr.ai
80,Ema,91,Agentic AI,USA,USA,Remote-friendly,Series B,51-200,https://ema.co
81,Beam AI,91,Agentic AI,Germany,Germany,Remote-friendly,Seed,1-50,https://beam.ai
82,Lovable,91,Agentic AI,Sweden,Sweden,Remote-friendly,Series A,51-200,https://lovable.dev
83,Relevance AI,91,Agentic AI,Australia,Australia,Remote-friendly,Series B,51-200,https://relevanceai.com
84,Sierra,91,Agentic AI,USA,USA,Remote-friendly,Series B,201-500,https://sierra.ai
85,Decagon,91,Agentic AI,USA,USA,Remote-friendly,Series C,51-200,https://decagon.ai
91,Lorikeet,91,Agentic AI,Australia,Australia,Remote-friendly,Series A,1-50,https://lorikeet.ai
