Supplier,SupplierName,Invoice,InvoiceDate,DueDate,DaysOverdue,OrigInvValue,Outstanding,Currency
000000000000016,Splash Paints,10122,2019-01-27T00:00:00,2019-03-27T00:00:00,2626,2170.00,2170.00,$  
000000000000016,Splash Paints,10155,2019-01-27T00:00:00,2019-03-27T00:00:00,2626,120000.00,120000.00,$  
000000000000018,Steel Supplies,584,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,912.00,912.00,$  
000000000000001,Bicycles Unlimited,BU 620,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,2363149.00,2363149.00,$  
000000000000001,Bicycles Unlimited,BU 625,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,1181574.50,1180574.50,$  
000000000000001,Bicycles Unlimited,BU 629,2019-02-28T00:00:00,2019-03-28T00:00:00,2625,1181574.50,1181574.50,$  
000000000000001,Bicycles Unlimited,BU 635,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,597102.15,597102.15,$  
000000000000012,Master Engineers,ME 10115,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,111500.00,111500.00,$  
000000000000012,Master Engineers,ME10129,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,14000.00,14000.00,$  
000000000000012,Master Engineers,ME10136,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,111500.00,111500.00,$  
000000000000021,The Bicycle Company,4762,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,68000.00,68000.00,$  
000000000000021,The Bicycle Company,4769,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,68000.00,68000.00,$  
000000000000021,The Bicycle Company,4778,2019-02-27T00:00:00,2019-03-28T00:00:00,2625,68000.00,68000.00,$  
000000000000019,The Ink Spot,INK 4756,2019-03-01T00:00:00,2019-03-31T00:00:00,2622,1250.00,1250.00,$  
000000000000002,Accessories Unlimited,7881,2019-02-01T00:00:00,2019-04-02T00:00:00,2620,16640.00,16640.00,EUR
000000000000019,The Ink Spot,INK 4765,2019-03-01T00:00:00,2019-04-07T00:00:00,2615,0.00,-1250.00,$  
000000000000010,International Data Services,IDS001-21,2019-03-25T00:00:00,2019-04-24T00:00:00,2598,536.15,536.15,$  
000000000000016,Splash Paints,10160,2019-02-27T00:00:00,2019-04-27T00:00:00,2595,2170.00,2170.00,$  
000000000000020,The Rubber Plant,745,2019-03-31T00:00:00,2019-04-30T00:00:00,2592,5776.00,5776.00,$  
000000000000009,Door to Door Freight Services,5904,2019-04-01T00:00:00,2019-05-01T00:00:00,2591,1500.00,1500.00,$  
000000000000025,Strauss & Partners,45789,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,50000.00,50000.00,$  
000000000000070,Bicycle Supplies,INV 760,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,64000.00,64000.00,$  
000000000000070,Bicycle Supplies,INV 7600,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,3200.00,3200.00,$  
000000000000071,Bike Bazaar,INV 84,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,20700.00,20700.00,$  
000000000000075,Bike Trading Co,8000099,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,64000.00,64000.00,$  
000000000000075,Bike Trading Co,INV 67600,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,3500.00,3500.00,$  
000000000000092,Sail Away Travel Agency,SA 5678,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,16050.00,16050.00,$  
000000000000092,Sail Away Travel Agency,SA 6321,2019-04-09T00:00:00,2019-05-09T00:00:00,2583,1011503.00,1011503.00,$  
000000000000016,Splash Paints,10168,2019-03-26T00:00:00,2019-05-25T00:00:00,2567,2170.00,2170.00,$  
000000000000001,Bicycles Unlimited,00100,2019-10-22T00:00:00,2019-11-21T00:00:00,2387,2363149.00,2363149.00,$  
000000000000001,Bicycles Unlimited,1234,2019-10-22T00:00:00,2019-11-21T00:00:00,2387,600.00,600.00,$  
000000000000001,Bicycles Unlimited,319,2019-10-22T00:00:00,2019-11-21T00:00:00,2387,3500.00,3500.00,$  
