Rank,Company,Fit Score,Category Label,Country,Region,Remote,Funding Stage (approx),Company Size (approx),Website
127,Builder.io,90,AI SaaS,USA,Global-Remote,Remote-first,Series A,51-200,https://builder.io
130,Apollo.io,90,AI SaaS,USA,USA,Remote-first,Series D,501-1000,https://apollo.io
142,Jasper,90,AI SaaS,USA,USA,Remote-first,Series A,201-500,https://jasper.ai
143,Roboflow,90,AI SaaS,USA,USA,Remote-first,Series B,51-200,https://roboflow.com
156,Leonardo.ai,86,AI SaaS,Australia,Australia,Remote-friendly,Acquired (Canva),51-200,https://leonardo.ai
157,Channel Corp,86,AI SaaS,South Korea,South Korea,Remote-friendly,Series C,201-500,https://channel.io
161,Canva,86,AI SaaS,Australia,Australia,Remote-friendly,Late-stage,5000+,https://canva.com
162,Coveo,86,AI SaaS,Canada,Canada,Remote-friendly,Public,501-1000,https://coveo.com
164,Descript,86,AI SaaS,USA,USA,Remote-friendly,Series C,201-500,https://descript.com
165,Dixa,86,AI SaaS,Denmark,Denmark,Remote-friendly,Series C,201-500,https://dixa.com
179,Gamma,86,AI SaaS,USA,USA,Remote-friendly,Series A,51-200,https://gamma.app
180,Typeface,86,AI SaaS,USA,USA,Remote-friendly,Series B,201-500,https://typeface.ai
181,HeyGen,86,AI SaaS,USA,USA,Remote-friendly,Series A,51-200,https://heygen.com
183,Runway,86,AI SaaS,USA,USA,Remote-friendly,Series D,201-500,https://runwayml.com
186,Wrtn Technologies,86,AI SaaS,South Korea,South Korea,Remote-friendly,Series B,51-200,https://wrtn.io
190,Yellow.ai,86,AI SaaS,India,India,Remote-friendly,Series C,501-1000,https://yellow.ai
201,Synthesia,86,AI SaaS,UK,UK,Remote-friendly,Late-stage,201-500,https://synthesia.io
203,Intercom,86,AI SaaS,Ireland,Europe,Remote-friendly,Series D,501-1000,https://intercom.com
205,Gong,86,AI SaaS,USA,USA,Remote-friendly,Late-stage,1001-5000,https://gong.io
207,Airtable,86,AI SaaS,USA,USA,Remote-friendly,Series F,501-1000,https://airtable.com
208,Notion,86,AI SaaS,USA,USA,Remote-friendly,Late-stage,501-1000,https://notion.so
209,DeepL,86,AI SaaS,Germany,Germany,Remote-friendly,Series B,501-1000,https://deepl.com
212,Bird,86,AI SaaS,Netherlands,Netherlands,Remote-friendly,Series C,501-1000,https://bird.com
